pf,M,PKI_Availability,DPKI_Lower,DPKI_Upper
0.689655172413793,5,0.271037537848394,0.615622019867608,0.593551526307277
0.689655172413793,6,0.272064317402721,0.696258618585316,0.672921991094345
0.689655172413793,7,0.272767001938795,0.760601481310201,0.736391656209628
0.689655172413793,8,0.273277794276175,0.811077201672671,0.786265171264581
0.689655172413793,9,0.273665713656457,0.850151605720765,0.824924261305781
0.689655172413793,10,0.273970268454883,0.880078871907633,0.854565104039576
0.689655172413793,11,0.274215688864888,0.902800428716023,0.877089127432052
0.689655172413793,12,0.27441765412281,0.919925481748677,0.894077950522696
0.724137931034483,4,0.23867288652328,0.463555716108663,0.444595919268009
0.724137931034483,5,0.240125086636273,0.558486371539658,0.537543044375225
0.724137931034483,6,0.241034759633587,0.639134091802432,0.616754370004194
0.724137931034483,7,0.241657301390874,0.706251425129416,0.682831553701334
0.724137931034483,8,0.242109836693697,0.761236751856251,0.737063668567232
0.724137931034483,9,0.24245351298126,0.805727743034286,0.781009230464918
0.724137931034483,10,0.242723332608231,0.841367957264448,0.816254478664439
0.724137931034483,11,0.242940762259056,0.869682652293565,0.844283163809297
0.724137931034483,12,0.2431196929173,0.892021682291119,0.86641508320101
0.758620689655172,4,0.208145471030124,0.408287301055484,0.390798108581712
0.758620689655172,5,0.209411927731394,0.497076155732274,0.477496405130441
0.758620689655172,6,0.210205249156661,0.575332347151942,0.554166612271749
0.758620689655172,7,0.210748164814966,0.643044718684537,0.620675821560432
0.758620689655172,8,0.211142818665833,0.70080297326175,0.677521332306868
0.758620689655172,9,0.211442537095516,0.749512649279502,0.725538581968496
0.758620689655172,10,0.211677845488385,0.790211519528141,0.765712163257271
0.758620689655172,11,0.211867464836213,0.823955463251768,0.799057611907897
0.758620689655172,12,0.212023509398645,0.851751153032656,0.826550995081681
0.793103448275862,4,0.177816142587752,0.35136600540962,0.335562230913581
0.793103448275862,5,0.178898061133756,0.431804722671445,0.41386033809097
0.793103448275862,6,0.179575785971943,0.50510324963972,0.485461098559037
0.793103448275862,7,0.180039592211072,0.570830646873622,0.549841989642215
0.793103448275862,8,0.180376740192583,0.629028218800268,0.606971642839781
0.793103448275862,9,0.180632785999225,0.680035046012872,0.657131500024164
0.793103448275862,10,0.180833807095343,0.724364851920549,0.700789571081826
0.793103448275862,11,0.180995796596359,0.76262069755848,0.738512661493884
0.793103448275862,12,0.181129103566845,0.795437203726995,0.770906637655671
0.827586206896552,4,0.147684901196165,0.293186029159527,0.279302451716763
0.827586206896552,5,0.14858348684336,0.363216585594423,0.347218101599851
0.827586206896552,6,0.149146370079433,0.428948750507143,0.411199961166007
0.827586206896552,7,0.149531583579192,0.489822390848122,0.470625071375408
0.827586206896552,8,0.149811601273949,0.545591565748584,0.525195462664146
0.827586206896552,9,0.150024259692388,0.596234109026114,0.574845909157925
0.827586206896552,10,0.150191217429107,0.641882693521013,0.619673448038643
0.827586206896552,11,0.150325757539493,0.682772855154959,0.659884123647059
0.827586206896552,12,0.1504364754219,0.719204210253676,0.695753145483267
0.862068965517241,4,0.117751746855362,0.234181530315923,0.222473781820654
