m,pf,PKI,DPKI_Mal_Lower,DPKI_Mal_Upper
8,0.8028028028028028,0.15989501927928967,0.008307996978722984,0.008043553369409848
8,0.8038038038038038,0.1590679214482995,0.008123146139732999,0.0078645685933802
8,0.8048048048048048,0.15824098124982905,0.00794135360208324,0.007688545610100434
8,0.8058058058058059,0.15741419868387813,0.007762588301140814,0.007515454320836801
8,0.8068068068068068,0.15658757375044713,0.0075868192212039005,0.007345264674611227
8,0.8078078078078078,0.15576110644953575,0.007414015398205134,0.007177946670815774
8,0.8088088088088088,0.15493479678114422,0.007244145922406582,0.007013470361818968
8,0.8098098098098098,0.1541086447452723,0.007077179941085792,0.006851805855563463
8,0.8108108108108109,0.15328265034192012,0.006913086661212689,0.006692923318154816
8,0.8118118118118118,0.15245681357108765,0.0067518353521171404,0.006536792976441228
8,0.8128128128128128,0.151631134432775,0.00659339534814663,0.006383385120583693
8,0.8138138138138138,0.150805612926982,0.0064377360513141225,0.006232670106616623
8,0.8148148148148148,0.14998024905370871,0.006284826933935538,0.006084618358998409
8,0.8158158158158159,0.14915504281295516,0.006134637541256663,0.005939200373151747
8,0.8168168168168168,0.14832999420472134,0.005987137494069272,0.005796386717993489
8,0.8178178178178178,0.14750510322900726,0.0058422964913159275,0.005656148038453535
8,0.8188188188188188,0.14668036988581287,0.005700084312683487,0.00551845505798277
8,0.8198198198198198,0.14585579417513822,0.0055604708211847926,0.005383278581049547
8,0.8208208208208209,0.1450313760969833,0.005423425965728308,0.005250589495624494
8,0.8218218218218218,0.1442071156513481,0.0052889197836754895,0.005120358775653433
8,0.8228228228228228,0.14338301283823265,0.005156922403385387,0.004992557483517918
8,0.8238238238238238,0.1425590676576369,0.005027404046746436,0.004867156772483373
8,0.8248248248248248,0.1417352801095609,0.004900335031694952,0.004744127889134324
8,0.8258258258258259,0.1409116501940045,0.00477568577472008,0.00462344217579653
8,0.8268268268268268,0.14008817791096795,0.004653426793354977,0.004505071072945764
8,0.8278278278278278,0.13926486326045104,0.004533528708653694,0.004388986121602736
8,0.8288288288288288,0.13844170624245394,0.004415962247653775,0.004275158965714179
8,0.8298298298298298,0.13761870685697655,0.00430069824582399,0.004163561354519549
8,0.8308308308308309,0.1367958651040188,0.004187707649497042,0.004054165144903139
8,0.8318318318318318,0.13597318098358088,0.004076961518286933,0.003946942303731362
8,0.8328328328328328,0.1351506544956626,0.003968431027490525,0.0038418649101747025
8,0.8338338338338338,0.13432828564026414,0.0038620874704732517,0.0037389051580143237
8,0.8348348348348348,0.13350607441738538,0.0037579022610384257,0.00363803535793279
8,0.8358358358358359,0.13268402082702618,0.0036558469357799448,0.0035392279397886994
8,0.8368368368368369,0.1318621248691869,0.003555893156418122,0.0034424554548749767
8,0.8378378378378378,0.13104038654386724,0.0034580127121181243,0.003347690578160323
8,0.8388388388388388,0.1302188058510674,0.003362177521790982,0.0032549061105137805
8,0.8398398398398398,0.1293973827907872,0.0032683596363766282,0.003164074980911897
8,0.8408408408408409,0.1285761173630267,0.0031765312411087482,0.003075170248628275
8,0.8418418418418419,0.12775500956778596,0.0030866646577611327,0.002988165105405203
8,0.8428428428428428,0.12693405940506494,0.0029987323468750955,0.0029030328776069566
8,0.8438438438438438,0.12611326687486377,0.002912706909967799,0.0028197470283546043
8,0.8448448448448448,0.12529263197718218,0.0028285610917210373,0.0027382811596418956
8,0.8458458458458459,0.12447215471202025,0.002746267782150197,0.002658609014431947
8,0.8468468468468469,0.12365183507937823,0.0026658000187530996,0.002580704478734456
8,0.8478478478478478,0.12283167307925584,0.002587130988638284,0.0025045415836629954
8,0.8488488488488488,0.12201166871165318,0.0025102340306325595,0.002430094507472247
8,0.8498498498498498,0.12119182197657025,0.0024350826373673758,0.0023573375775747182
8,0.8508508508508509,0.12037213287400694,0.002361650457343725,0.0022862452725366687
8,0.8518518518518519,0.11955260140396347,0.002289911296975264,0.0022167922240529654
8,0.8528528528528528,0.11873322756643971,0.0022198391226092374,0.0021489532189004202
8,0.8538538538538538,0.11791401136143569,0.002151408062524985,0.002082703200869445
8,0.8548548548548548,0.11709495278895139,0.002084592408909607,0.002018017272673588
8,0.8558558558558559,0.11627605184898672,0.002019366619810477,0.0019548706978366396
8,0.8568568568568569,0.11545730854154188,0.0019557053210643082,0.0018932389025570608
8,0.8578578578578578,0.11463872286661676,0.001893583308202307,0.0018330974775492466
8,0.8588588588588588,0.11382029482421137,0.0018329755483312362,0.0017744221798614713
8,0.8598598598598598,0.11300202441432561,0.001773857181989929,0.0017171889346700693
8,0.8608608608608609,0.11218391163695958,0.0017162035249809406,0.0016613738370495445
8,0.8618618618618619,0.11136595649211337,0.0016599900701770377,0.0016069531537183236
