M,source,model,E_T_total
6.564564564564565,Theory,PKI FCFS,0.26150284629981024
6.564564564564565,Theory,DPKI Upper,0.30801241864980156
6.564564564564565,Theory,DPKI Lower,0.27139693772465945
6.57057057057057,Theory,PKI FCFS,0.26150284629981024
6.57057057057057,Theory,DPKI Upper,0.30801241864980156
6.57057057057057,Theory,DPKI Lower,0.27139693772465945
6.576576576576577,Theory,PKI FCFS,0.26150284629981024
6.576576576576577,Theory,DPKI Upper,0.30801241864980156
6.576576576576577,Theory,DPKI Lower,0.27139693772465945
6.5825825825825826,Theory,PKI FCFS,0.26150284629981024
6.5825825825825826,Theory,DPKI Upper,0.30801241864980156
6.5825825825825826,Theory,DPKI Lower,0.27139693772465945
6.588588588588588,Theory,PKI FCFS,0.26150284629981024
6.588588588588588,Theory,DPKI Upper,0.30801241864980156
6.588588588588588,Theory,DPKI Lower,0.27139693772465945
6.594594594594595,Theory,PKI FCFS,0.26150284629981024
6.594594594594595,Theory,DPKI Upper,0.30801241864980156
6.594594594594595,Theory,DPKI Lower,0.27139693772465945
6.6006006006006,Theory,PKI FCFS,0.26150284629981024
6.6006006006006,Theory,DPKI Upper,0.30801241864980156
6.6006006006006,Theory,DPKI Lower,0.27139693772465945
6.606606606606607,Theory,PKI FCFS,0.26150284629981024
6.606606606606607,Theory,DPKI Upper,0.30801241864980156
6.606606606606607,Theory,DPKI Lower,0.27139693772465945
6.612612612612613,Theory,PKI FCFS,0.26150284629981024
6.612612612612613,Theory,DPKI Upper,0.30801241864980156
6.612612612612613,Theory,DPKI Lower,0.27139693772465945
6.618618618618618,Theory,PKI FCFS,0.26150284629981024
6.618618618618618,Theory,DPKI Upper,0.30801241864980156
6.618618618618618,Theory,DPKI Lower,0.27139693772465945
6.624624624624625,Theory,PKI FCFS,0.26150284629981024
6.624624624624625,Theory,DPKI Upper,0.30801241864980156
6.624624624624625,Theory,DPKI Lower,0.27139693772465945
6.63063063063063,Theory,PKI FCFS,0.26150284629981024
6.63063063063063,Theory,DPKI Upper,0.30801241864980156
6.63063063063063,Theory,DPKI Lower,0.27139693772465945
6.636636636636637,Theory,PKI FCFS,0.26150284629981024
6.636636636636637,Theory,DPKI Upper,0.30801241864980156
6.636636636636637,Theory,DPKI Lower,0.27139693772465945
6.642642642642643,Theory,PKI FCFS,0.26150284629981024
6.642642642642643,Theory,DPKI Upper,0.30801241864980156
6.642642642642643,Theory,DPKI Lower,0.27139693772465945
6.648648648648648,Theory,PKI FCFS,0.26150284629981024
6.648648648648648,Theory,DPKI Upper,0.30801241864980156
6.648648648648648,Theory,DPKI Lower,0.27139693772465945
6.654654654654655,Theory,PKI FCFS,0.26150284629981024
6.654654654654655,Theory,DPKI Upper,0.30801241864980156
6.654654654654655,Theory,DPKI Lower,0.27139693772465945
6.66066066066066,Theory,PKI FCFS,0.26150284629981024
6.66066066066066,Theory,DPKI Upper,0.30801241864980156
6.66066066066066,Theory,DPKI Lower,0.27139693772465945
6.666666666666667,Theory,PKI FCFS,0.26150284629981024
6.666666666666667,Theory,DPKI Upper,0.30801241864980156
6.666666666666667,Theory,DPKI Lower,0.27139693772465945
6.672672672672673,Theory,PKI FCFS,0.26150284629981024
6.672672672672673,Theory,DPKI Upper,0.30801241864980156
6.672672672672673,Theory,DPKI Lower,0.27139693772465945
6.678678678678678,Theory,PKI FCFS,0.26150284629981024
6.678678678678678,Theory,DPKI Upper,0.30801241864980156
6.678678678678678,Theory,DPKI Lower,0.27139693772465945
6.684684684684685,Theory,PKI FCFS,0.26150284629981024
6.684684684684685,Theory,DPKI Upper,0.30801241864980156
6.684684684684685,Theory,DPKI Lower,0.27139693772465945
6.6906906906906904,Theory,PKI FCFS,0.26150284629981024
6.6906906906906904,Theory,DPKI Upper,0.30801241864980156
6.6906906906906904,Theory,DPKI Lower,0.27139693772465945
6.696696696696697,Theory,PKI FCFS,0.26150284629981024
6.696696696696697,Theory,DPKI Upper,0.30801241864980156
6.696696696696697,Theory,DPKI Lower,0.27139693772465945
6.702702702702703,Theory,PKI FCFS,0.26150284629981024
6.702702702702703,Theory,DPKI Upper,0.30801241864980156
6.702702702702703,Theory,DPKI Lower,0.27139693772465945
6.708708708708708,Theory,PKI FCFS,0.26150284629981024
6.708708708708708,Theory,DPKI Upper,0.30801241864980156
6.708708708708708,Theory,DPKI Lower,0.27139693772465945
6.714714714714715,Theory,PKI FCFS,0.26150284629981024
6.714714714714715,Theory,DPKI Upper,0.30801241864980156
6.714714714714715,Theory,DPKI Lower,0.27139693772465945
6.7207207207207205,Theory,PKI FCFS,0.26150284629981024
6.7207207207207205,Theory,DPKI Upper,0.30801241864980156
6.7207207207207205,Theory,DPKI Lower,0.27139693772465945
6.726726726726727,Theory,PKI FCFS,0.26150284629981024
6.726726726726727,Theory,DPKI Upper,0.30801241864980156
6.726726726726727,Theory,DPKI Lower,0.27139693772465945
6.732732732732733,Theory,PKI FCFS,0.26150284629981024
6.732732732732733,Theory,DPKI Upper,0.30801241864980156
6.732732732732733,Theory,DPKI Lower,0.27139693772465945
6.738738738738738,Theory,PKI FCFS,0.26150284629981024
